International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
1997-020B,24793,IRIDIUM 7 [-],100.31,86.39,775,771,0.0002561,,0.78
1997-020D,24795,IRIDIUM 5 [-],96.59,86.40,675,516,0.0114148,,0.69
1997-020E,24796,IRIDIUM 4 [-],100.24,86.39,772,768,0.0002307,,0.80
1997-030A,24836,IRIDIUM 914 [-],99.97,86.39,758,756,0.0001373,,0.80
1997-030F,24841,IRIDIUM 16 [-],100.12,86.40,767,761,0.0004497,,0.76
1997-030G,24842,IRIDIUM 911 [-],99.51,86.44,747,724,0.0016415,,0.72
1997-034B,24870,IRIDIUM 17 [-],100.18,86.39,769,765,0.0003234,,0.84
1997-034C,24871,IRIDIUM 920 [-],99.92,86.39,765,745,0.0013882,,0.71
1997-034E,24873,IRIDIUM 921 [-],92.34,86.38,395,384,0.0008130,,0.86
1997-043A,24903,IRIDIUM 26 [-],100.22,86.40,771,767,0.0002397,,0.66
1997-043E,24907,IRIDIUM 22 [-],100.30,86.40,775,771,0.0002155,,0.84
1997-048A,24925,DUMMY MASS 1 [-],96.87,86.34,613,605,0.0005599,,0.73
1997-048B,24926,DUMMY MASS 2 [-],96.88,86.34,613,605,0.0005866,,0.80
1997-051A,24944,IRIDIUM 29 [-],100.27,86.40,773,770,0.0002123,,0.74
1997-051C,24946,IRIDIUM 33 [-],100.37,86.39,784,769,0.0010131,,0.79
1997-051E,24948,IRIDIUM 28 [-],100.21,86.40,770,766,0.0002769,,0.76
1997-056C,24967,IRIDIUM 36 [-],100.19,86.39,770,766,0.0002484,,0.77
1997-069D,25042,IRIDIUM 39 [-],99.41,86.39,742,718,0.0016950,,0.54
1997-069E,25043,IRIDIUM 38 [-],100.16,86.39,769,763,0.0004124,,0.74
1997-077A,25077,IRIDIUM 42 [-],100.28,86.40,774,770,0.0002812,,0.86
1997-077B,25078,IRIDIUM 44 [-],100.01,86.39,762,756,0.0003774,,0.73
1997-082A,25104,IRIDIUM 45 [-],95.30,86.36,633,433,0.0144272,,0.57
1997-082B,25105,IRIDIUM 24 [-],99.89,86.40,763,743,0.0013532,,0.75
1998-018A,25262,IRIDIUM 51 [-],94.67,86.39,588,417,0.0123843,,0.78
1998-019B,25273,IRIDIUM 57 [-],100.31,86.40,775,771,0.0002391,,0.79
1998-021B,25286,IRIDIUM 63 [-],100.27,86.40,773,770,0.0001860,,0.76
1998-026A,25319,IRIDIUM 69 [-],99.97,86.40,760,754,0.0004144,,0.69
1998-026B,25320,IRIDIUM 71 [-],99.95,86.40,759,753,0.0004177,,0.72
1998-032C,25344,IRIDIUM 73 [-],99.24,86.44,724,720,0.0002522,,0.78
1998-051A,25467,IRIDIUM 82 [-],94.87,86.38,591,433,0.0114917,,0.83
