International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2013-066C,39418,SKYSAT-A,95.54,97.47,561,528,0.0024259,,0.77
2014-037D,40072,SKYSAT-B,96.96,98.33,618,608,0.0006894,,0.77
2016-040C,41601,SKYSAT-C1,94.09,97.04,479,470,0.0005982,,0.91
2016-058B,41771,SKYSAT-C4,93.79,96.99,461,459,0.0001793,,0.94
2016-058C,41772,SKYSAT-C5,93.52,97.14,448,445,0.0002346,,0.73
2016-058D,41773,SKYSAT-C2,93.93,96.99,469,465,0.0002869,,0.95
2016-058E,41774,SKYSAT-C3,93.39,96.99,443,438,0.0003827,,0.80
2017-068A,42987,SKYSAT-C11,93.58,97.37,462,438,0.0017656,,0.79
2017-068B,42988,SKYSAT-C10,93.92,97.38,469,464,0.0003591,,0.79
2017-068C,42989,SKYSAT-C9,93.94,97.38,472,463,0.0006694,,0.77
2017-068D,42990,SKYSAT-C8,94.01,97.39,473,469,0.0003047,,0.76
2017-068E,42991,SKYSAT-C7,93.96,97.39,474,462,0.0008311,,0.79
2017-068F,42992,SKYSAT-C6,94.02,97.39,472,469,0.0002150,,0.78
2018-099AR,43797,SKYSAT-C12,93.92,97.00,469,463,0.0005043,,0.94
2018-099AW,43802,SKYSAT-C13,93.51,97.03,456,437,0.0013689,,0.60
2023-001M,55020,FLOCK 4Y-24,93.62,97.40,457,446,0.0007835,,0.92
2023-001N,55021,FLOCK 4Y-32,93.56,97.40,454,443,0.0008313,,0.71
2023-001P,55022,FLOCK 4Y-22,93.61,97.40,456,446,0.0007903,,0.93
2023-001Q,55023,FLOCK 4Y-18,93.61,97.41,456,446,0.0007382,,0.53
2023-001R,55024,FLOCK 4Y-14,93.60,97.40,456,445,0.0007773,,0.93
2023-001S,55025,FLOCK 4Y-30,93.58,97.41,456,444,0.0008353,,0.82
2023-001U,55027,FLOCK 4Y-25,93.59,97.40,455,445,0.0007741,,0.89
2023-001V,55028,FLOCK 4Y-5,93.61,97.41,457,445,0.0008489,,0.89
2023-001W,55029,FLOCK 4Y-10,93.61,97.40,457,446,0.0007941,,0.71
2023-001X,55030,FLOCK 4Y-29,93.41,97.40,448,435,0.0009188,,0.92
2023-001Y,55031,FLOCK 4Y-17,93.61,97.41,456,446,0.0007945,,0.95
2023-001Z,55032,FLOCK 4Y-7,93.75,97.40,464,452,0.0008983,,0.94
2023-001AH,55040,FLOCK 4Y-16,93.56,97.41,455,442,0.0008932,,0.92
