International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2014-033AL,40044,LEMUR-1,97.25,97.71,664,590,0.0052277,,0.49
2017-042N,42837,LEMUR-2-GREENBERG,95.37,97.36,545,528,0.0012313,,1.07
2017-042P,42838,LEMUR-2-ANDIS,95.38,97.36,547,527,0.0013954,,0.61
2017-042Q,42839,LEMUR-2-MONSON,95.47,97.39,548,535,0.0008990,,0.63
2017-042R,42840,LEMUR-2-FURIAUS,95.47,97.36,549,533,0.0011724,,0.87
2017-042S,42841,LEMUR-2-PETERG,95.40,97.39,541,535,0.0004371,,0.73
2017-042T,42842,LEMUR-2-DEMBITZ,95.45,97.38,547,533,0.0009570,,1.17
2017-042W,42845,LEMUR-2-ZACHARY,95.09,97.37,527,518,0.0006604,,0.56
2018-014C,43182,LEMUR-2-JIN-LUEN,94.71,97.57,511,498,0.0009001,,0.96
2018-014D,43183,LEMUR-2-URAMCHANSOL,94.12,97.57,482,470,0.0008725,,0.66
2018-014E,43184,LEMUR-2-KADI,94.65,97.54,507,496,0.0008624,,0.90
2018-014F,43185,LEMUR-2-THENICKMOLO,94.38,97.57,492,485,0.0005731,,0.91
2018-111G,43882,LEMUR-2-CHRISTINAHOLT,93.42,97.61,448,436,0.0008901,,0.90
2018-111H,43883,LEMUR-2-TINYKEV,92.81,97.59,419,405,0.0010080,,0.92
2018-111J,43884,LEMUR-2-REMY-COLTON,93.79,97.62,463,457,0.0003944,,0.88
2018-111K,43885,LEMUR-2-GUSTAVO,93.87,97.62,471,457,0.0009600,,0.89
2018-111L,43886,LEMUR-2-ZO,93.87,97.61,469,459,0.0007125,,0.92
2018-111M,43887,LEMUR-2-NATALIEMURRAY,93.87,97.62,469,458,0.0007924,,0.91
2018-111N,43888,LEMUR-2-SARAHBETTYBOO,93.63,97.66,456,448,0.0006144,,0.87
2018-111P,43889,LEMUR-2-DAISY-HARPER,93.53,97.65,450,444,0.0004333,,0.91
2020-068R,46501,LEMUR-2-DAYWZAGOODDAY,91.18,97.77,337,328,0.0007192,,0.41
2020-068T,46503,LEMUR-2-NICHOL,92.15,97.79,384,376,0.0005866,,0.80
2021-034B,48269,LEMUR-2-AMANDA-SVANTE,95.65,97.64,554,547,0.0004964,,0.89
2021-034F,48273,LEMUR-2-SPECIAL-K,95.50,97.63,544,542,0.0001393,,0.71
2023-084AQ,56970,LEMUR-2-EMBRIONOVIS,94.47,97.56,501,485,0.0011459,,0.76
2023-084AU,56974,LEMUR-2-NAZIYAH,91.61,97.53,357,350,0.0004482,,0.55
2023-084AX,56977,LEMUR-2-AADAM-ALIYAH,91.62,97.53,357,350,0.0005337,,0.88
2023-100E,57390,LEMUR-2-MANO,95.22,99.47,537,522,0.0010421,,0.98
2023-100F,57391,LEMUR-2-DEVERILL-M-T,95.42,99.45,547,531,0.0011295,,0.98
2023-174D,58259,LEMUR-2-BASS,94.51,97.44,503,487,0.0011473,,1.17
2023-174E,58260,LEMUR-2-DILIGHTFUL,93.83,97.44,467,456,0.0008123,,0.91
2023-174H,58263,LEMUR-2-GOOD-VIBES,93.83,97.43,467,457,0.0007003,,1.18
2023-174M,58267,LEMUR-2-SANITA-VETRA,93.81,97.44,465,457,0.0005819,,0.92
2023-174CE,58332,LEMUR-2-MARAPAMASM,93.33,97.43,442,433,0.0005972,,0.89
2023-174CF,58333,LEMUR-2-THE-CLEANER,93.70,97.44,460,451,0.0006014,,0.68
2023-174CJ,58336,LEMUR-2-JK0903EM1407,94.33,97.44,492,480,0.0009107,,0.70
2023-174CN,58340,LEMUR-2-MJR092620,94.30,97.45,491,478,0.0010042,,0.89
