International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2019-074B,44714,STARLINK-1008,95.59,53.05,548,546,0.0001361,,0.52
2019-074C,44715,STARLINK-1009,95.59,53.05,548,546,0.0001496,,1.19
2019-074D,44716,STARLINK-1010,95.59,53.05,548,546,0.0001182,,0.51
2019-074E,44717,STARLINK-1011,95.59,53.05,548,546,0.0001486,,1.44
2019-074F,44718,STARLINK-1012,95.59,53.05,548,546,0.0001631,,0.61
2019-074G,44719,STARLINK-1013,95.59,53.05,548,546,0.0001766,,0.53
2019-074H,44720,STARLINK-1014,94.86,53.05,514,509,0.0003671,,0.66
2019-074J,44721,STARLINK-1015,95.59,53.06,548,546,0.0001204,,0.49
2019-074L,44723,STARLINK-1017,95.59,53.05,548,546,0.0001340,,1.17
2019-074M,44724,STARLINK-1019,95.59,53.05,547,547,0.0000318,,0.61
2019-074N,44725,STARLINK-1020,95.59,53.05,548,546,0.0001083,,0.54
2019-074P,44726,STARLINK-1021,95.59,53.05,548,546,0.0001338,,1.48
2019-074V,44732,STARLINK-1027,95.59,53.05,548,546,0.0001388,,0.55
2019-074W,44733,STARLINK-1028,95.59,53.05,548,546,0.0001439,,0.62
2019-074X,44734,STARLINK-1029,95.59,53.05,548,546,0.0001309,,0.93
2019-074Y,44735,STARLINK-1030,95.59,53.05,548,546,0.0001634,,0.54
2019-074Z,44736,STARLINK-1031,95.59,53.05,548,546,0.0001548,,0.59
2019-074AA,44737,STARLINK-1032,95.59,53.05,548,546,0.0001527,,0.58
2019-074AD,44740,STARLINK-1035,95.59,53.05,548,546,0.0001616,,0.59
2019-074AE,44741,STARLINK-1036,95.59,53.05,548,546,0.0001966,,0.57
2019-074AG,44743,STARLINK-1038,95.47,53.05,543,540,0.0001575,,0.39
2019-074AH,44744,STARLINK-1039,95.59,53.06,548,546,0.0001667,,0.65
2019-074AL,44747,STARLINK-1042,94.34,53.05,491,482,0.0006470,,0.60
2019-074AM,44748,STARLINK-1043,95.59,53.05,548,547,0.0000993,,1.07
2019-074AQ,44751,STARLINK-1046,95.59,53.05,548,546,0.0001103,,0.52
