International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
1964-063C,900,CALSPHERE 1,104.67,90.21,998,959,0.0026488,,0.67
1964-063E,902,CALSPHERE 2,106.44,90.22,1074,1050,0.0016522,,0.39
1965-034C,1361,LCS 1,145.56,32.14,2797,2778,0.0010308,,0.58
1965-065E,1512,TEMPSAT 1,107.98,89.96,1185,1082,0.0068058,,0.52
1965-065H,1520,CALSPHERE 4A,107.77,89.93,1177,1070,0.0071135,,0.7
1967-053A,2826,OPS 5712 (P/L 160),98.18,69.92,672,671,0.0000855,,0.55
1967-066E,2866,LES-5,1315.96,1.48,33629,33173,0.0057257,,1.02
1967-053F,2872,SURCAL 159,102.9,69.97,899,893,0.000392,,0.51
1967-053H,2874,OPS 5712 (P/L 153),103.1,69.97,910,901,0.0006007,,0.76
1967-053J,2909,SURCAL 150B,95.86,69.93,564,556,0.0006009,,0.2
1971-039A,5204,OPS 3811 (DSP 2),1466.95,1.09,36490,36287,0.0023673,,0.23
1971-067E,5398,RIGIDSPHERE 2 (LCS 4),100.22,87.62,814,724,0.006261,,0.56
1974-089B,7530,OSCAR 7 (AO-7),114.86,101.99,1459,1439,0.001229,,0.55
1975-010A,7646,STARLETTE,104.17,49.83,1106,805,0.0205687,,0.59
1976-039A,8820,LAGEOS 1,225.47,109.86,5947,5839,0.0044159,,0.79
1982-019A,13086,OPS 8701 (DSP 10),1466.56,10.33,36401,36361,0.0004692,,1.19
1983-058B,14129,PHASE 3B (AO-10),699.46,27.16,35502,3945,0.6044873,,1.52
1984-021B,14781,UOSAT 2 (UO-11),96.74,97.74,609,596,0.0009493,,0.6
1986-061A,16908,AJISAI (EGS),115.71,50.01,1496,1479,0.0011261,,0.52
1988-091B,19548,TDRS 3,1436.03,12.99,35962,35609,0.0041851,*G,1.2
1989-001C,19751,COSMOS 1989 (ETALON 1),675.56,64.66,19186,19065,0.0023711,,0.2
1989-039C,20026,COSMOS 2024 (ETALON 2),675.41,65.23,19172,19071,0.001986,,0.95
1989-077A,20253,FLTSATCOM 8 (USA 46),1436.19,12.57,35819,35758,0.0007183,*G,0.69
1990-005G,20442,LUSAT (LO-19),100.43,98.9,787,771,0.0010592,,0.55
1990-037B,20580,HST,94.58,28.47,500,496,0.0002431,,0.34
1990-079A,20776,SKYNET 4C,1436.08,13.5,35802,35771,0.0003605,*G,0.45
1990-095A,20929,USA 65 (DSP 15),1463.41,14.32,36334,36305,0.0003491,,0.79
1991-054B,21639,TDRS 5,1436.02,14.13,35807,35763,0.0005156,*G,1.19
1991-080B,21805,USA 75 (DSP 16),1451.79,14.28,36106,36080,0.0003119,*G,0.93
1992-070B,22195,LAGEOS 2,222.46,52.64,5951,5617,0.0137117,,0.25
