OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2024-12-08T22:44:14.269632,14.34217218,.0001902,86.3954,320.5575,84.6831,275.4581,0,U,41917,999,41362,.31999E-4,.109E-5,0
IRIDIUM 103,2017-003B,2024-12-08T22:25:57.845856,14.34221116,.0002441,86.3951,320.4639,71.1658,288.9802,0,U,41918,999,41364,.15824E-3,.463E-5,0
IRIDIUM 109,2017-003C,2024-12-08T22:35:06.343296,14.34217131,.000244,86.3955,320.5119,87.3531,272.7944,0,U,41919,999,41361,.46835E-4,.151E-5,0
IRIDIUM 102,2017-003D,2024-12-08T21:49:25.933152,14.34219824,.0002224,86.3954,320.4604,90.0189,270.1261,0,U,41920,999,41369,.26759E-3,.769E-5,0
IRIDIUM 105,2017-003E,2024-12-08T22:47:46.177728,14.34220563,.0002133,86.3954,288.8624,83.6679,276.4760,0,U,41921,999,41555,.11019E-3,.328E-5,0
IRIDIUM 104,2017-003F,2024-12-08T22:07:42.207456,14.34219183,.0002834,86.3953,320.4894,84.8659,275.2860,0,U,41922,999,41368,.15378E-3,.45E-5,0
IRIDIUM 114,2017-003G,2024-12-08T22:16:50.266848,14.34214105,.0002203,86.3954,320.4723,77.3044,282.8397,0,U,41923,999,41366,-.36481E-3,-.1002E-4,0
IRIDIUM 108,2017-003H,2024-12-08T22:57:34.332768,14.34219749,.0001973,86.3951,288.7732,84.5530,275.5891,0,U,41924,999,41552,.26257E-3,.755E-5,0
IRIDIUM 112,2017-003J,2024-12-08T21:58:34.243104,14.34217422,.0002566,86.3951,320.3446,88.0884,272.0606,0,U,41925,999,41368,.21699E-3,.628E-5,0
IRIDIUM 111,2017-003K,2024-12-08T21:40:18.021504,14.34215581,.0002226,86.3950,320.4085,83.6013,276.5436,0,U,41926,999,41366,.93376E-4,.281E-5,0
IRIDIUM 113,2017-039A,2024-12-08T16:10:03.276192,14.34218259,.0002473,86.4001,194.2982,85.3100,274.8378,0,U,42803,999,39156,.75421E-4,.231E-5,0
IRIDIUM 123,2017-039B,2024-12-08T22:11:10.860864,14.34218486,.0001876,86.3991,225.6353,77.2512,282.8893,0,U,42804,999,39036,.13307E-3,.392E-5,0
IRIDIUM 120,2017-039C,2024-12-08T22:42:44.926848,14.34235437,.0001799,86.3986,194.0388,87.3883,272.7519,0,U,42805,999,39159,-.6489E-6,.18E-6,0
