Satellite Number,Semi-major axis(m),eccentricity,inclination(degrees),RAAN (degrees),Argument of latitude(degrees)
42837,6929365.95297974,0,97.3637,341.9775,269.6038
42838,6930627.558227318,0,97.3645,341.7678,264.4204
42839,6933080.393896829,0,97.398,341.6641000000001,280.7015
42840,6932940.008295413,0,97.3669,341.7625,222.2381
42841,6931467.648770018,0,97.3918,343.4941,284.3528
42842,6931972.815538941,0,97.3816,343.2787,262.6448
42845,6919381.179993743,0,97.3794,344.25440000000003,232.6585
43182,6904894.92656113,0,97.5893,55.9074,303.841
43183,6895204.235156559,0,97.5905,57.361000000000004,313.5296
43184,6902014.59537195,0,97.5702,55.4304,322.8338
43185,6897462.469205194,0,97.5854,56.4812,318.2184
43882,6884548.009585075,0,97.6351,65.39760000000001,317.9606
43883,6873500.321571855,0,97.6137,65.584,315.4218
43884,6883571.357946987,0,97.62960000000001,66.0606,281.556
43885,6886107.111997783,0,97.6282,65.1402,322.9987
43886,6886968.208065646,0,97.6175,64.6426,306.6695
43887,6884964.189983518,0,97.6311,66.1046,347.4545
43888,6882131.304701069,0,97.66660000000002,69.2797,281.4216
43889,6874664.960085321,0,97.6515,69.3396,281.7733
46501,6822262.657545953,0,97.7885,121.1482,325.4913
46503,6832849.954223884,0,97.79120000000002,119.34010000000002,327.0103
48269,6945819.691112623,0,97.6625,218.3966,185.9105
48273,6942496.973277947,0,97.6658,218.6585,165.925
56970,6881384.928318226,0,97.5462,271.8061,287.9654
56974,6840338.474861789,0,97.5302,273.8733,310.6737
56977,6840330.435024327,0,97.5325,273.9775,306.901
57390,6927420.803499183,0,99.4944,352.6935,10.7082
57391,6928723.34601635,0,99.473,352.281,10.9639
58259,6887664.175830272,0,97.4531,227.15050000000002,53.4798
58260,6876696.80488864,0,97.4591,227.7797,62.0562
58263,6876675.192531521,0,97.4523,227.6258,56.6323
58267,6877078.075195889,0,97.4524,227.5294,60.3189
58332,6863992.848349876,0,97.4513,228.4766,102.342
58333,6872750.428721556,0,97.4527,228.09480000000002,106.0323
58336,6881134.785639818,0,97.4525,227.7336,100.211
58340,6880347.34952634,0,97.45890000000001,227.9265,102.89
