Satellite Number,Semi-major axis(m),eccentricity,inclination(degrees),RAAN (degrees),Argument of latitude(degrees)
41917,7152772.339240149,0,86.3973,103.78580000000001,360.14000000000004
41918,7152763.339875786,0,86.3972,103.57680000000002,360.14660000000003
41919,7152771.223687267,0,86.3975,103.7063,360.1444
41920,7152764.973785294,0,86.3972,103.6624,360.1439
41921,7152814.666815534,0,86.396,71.9627,360.1443
41922,7152765.564063191,0,86.3973,103.6859,360.1455
41923,7152775.415999092,0,86.3972,103.66960000000002,360.1407
41924,7152765.4773716135,0,86.3955,71.8954,360.1418
41925,7152765.142916469,0,86.3969,103.5584,360.143
41926,7152759.467223186,0,86.397,103.6146,360.1464
42803,7152767.201706128,0,86.3981,337.312,360.1478
42804,7152775.503125958,0,86.397,8.7859,360.1469000000001
42805,7152761.515754521,0,86.3969,337.2137,360.1455
42806,7122772.320960123,0,86.4508,337.2261,360.1482
42807,7152774.927481866,0,86.397,8.7746,360.14480000000003
42808,7152763.096370989,0,86.3969,8.7323,360.14619999999996
42809,7152774.8695295025,0,86.3969,8.7876,360.14869999999996
42810,7122810.785995908,0,86.4498,305.6343,360.14360000000005
42811,7152765.674230389,0,86.3958,40.2793,360.14560000000006
42812,7152773.506563196,0,86.397,8.8016,360.1454
42955,7152758.989583652,0,86.3961,40.4201,360.14650000000006
42956,7152764.456324355,0,86.3958,40.3039,360.1451
42957,7152761.634467595,0,86.3958,40.3445,360.14619999999996
42958,7152765.2642001705,0,86.396,40.5374,360.1466
42959,7152773.61122906,0,86.3961,40.3667,360.1472
42960,7152764.556173184,0,86.3958,40.4039,360.1438
42961,7152764.918136432,0,86.396,40.5325,360.1459
42962,7152758.407951356,0,86.3959,40.3758,360.1471
42963,7152764.160763832,0,86.3961,40.6253,360.14470000000006
42964,7152769.801646962,0,86.3964,40.4416,360.1483
43070,7152770.599696258,0,86.3966,337.2158,360.1409
43071,7152770.204301844,0,86.3964,336.9427,360.1477
43072,7152768.177606021,0,86.3974,337.2143,360.1437
43073,7152764.212227123,0,86.398,337.3855,360.1452
43074,7152767.223972414,0,86.397,337.2468,360.14500000000004
43075,7152768.896942084,0,86.3977,337.2263,360.1454
43076,7152750.351393414,0,86.3979,337.2667,360.1415
43077,7152765.262545333,0,86.3974,337.3261,360.1463
43078,7152770.2938897535,0,86.3974,305.6816,360.149
43079,7152758.897989142,0,86.398,337.3113,360.14529999999996
43249,7152764.148539311,0,86.3972,305.6308,360.1438
43250,7152768.384655367,0,86.3972,305.6049,360.1418
43251,7152774.790902917,0,86.3975,305.6594,360.1464
43252,7152758.840233415,0,86.3974,305.6664,360.144
43253,7152762.17658783,0,86.3973,305.6457,360.14180000000005
43254,7152775.349423195,0,86.3972,305.6693000000001,360.1419
43255,7152767.4888387015,0,86.3974,305.5954,360.1402
43256,7152761.9397380445,0,86.397,305.5883,360.1415
43257,7152778.902604858,0,86.3974,305.6891,360.1437000000001
43258,7152757.931127247,0,86.3976,305.7536,360.1413
43478,7122746.381236105,0,86.4494,103.74360000000001,360.1447
43479,7152760.568168246,0,86.3967,103.6087,360.14050000000003
43480,7152767.995378244,0,86.3967,103.5952,360.1455
43481,7152767.393628792,0,86.397,103.6611,360.1479
43482,7122751.803319878,0,86.4493,103.6485,360.1448
43569,7152768.066833708,0,86.3958,71.9202,360.14279999999997
43570,7152770.472131307,0,86.3955,71.872,360.1437000000001
43571,7152765.388853953,0,86.3956,72.0695,360.1403000000001
43572,7152773.035776246,0,86.3956,72.059,360.1406
43573,7152758.481291398,0,86.3954,71.8134,360.14660000000003
43574,7152773.876892352,0,86.3958,71.9107,360.1438
43575,7152768.619930853,0,86.3956,71.97880000000002,360.1442
43576,7152766.2360657435,0,86.3955,71.8498,360.14230000000003
43577,7152764.584863389,0,86.3957,72.0591,360.14080000000007
43578,7152768.938067584,0,86.3955,71.9698,360.14450000000005
43922,7152773.068052929,0,86.3968,8.9308,360.1437
43923,7029014.240709108,0,86.6099,8.7802,360.15009999999995
43924,7152776.0568693895,0,86.3971,8.8108,360.14439999999996
43925,7152775.510517663,0,86.3968,8.7124,360.14570000000003
43926,7138170.566501975,0,86.4215,40.3108,360.17359999999996
43927,7152776.568747118,0,86.3968,8.7497,360.1436
43928,7029020.160198349,0,86.1513,351.4431,360.14990000000006
43929,7152774.119363727,0,86.3978,9.1101,360.1435
43930,7028953.350968873,0,86.6098,8.7825,360.1479
43931,7152777.065881307,0,86.3969,8.7748,360.14310000000006
56726,7121807.072957205,0,86.8617,54.4686,360.14
56727,7003734.174056536,0,86.1967,34.9592,360.14709999999997
56728,7003712.339440241,0,86.1974,35.0197,360.14900000000006
56729,7003713.3977005165,0,86.577,44.5395,360.14709999999997
56730,7003714.599735863,0,86.6779,46.7328,360.1477
