Satellite Number,Semi-major axis(m),eccentricity,inclination(degrees),RAAN (degrees),Argument of latitude(degrees)
42838,6941174.662084115,0,97.3699,198.3866,359.98789999999997
42839,6942977.0019158805,0,97.3747,197.5921,360.00109999999995
42840,6942415.560870914,0,97.382,198.4225,360.02219999999994
42841,6942818.3709414005,0,97.3774,199.7336,360.0221
42842,6941859.822231835,0,97.3731,199.3027,359.9995
42845,6933168.604783874,0,97.3816,199.4656,360.04580000000004
43182,6918042.496189898,0,97.6017,265.8907,360.0713
43183,6911773.528281391,0,97.6019,266.6897,360.098
43184,6915890.625617653,0,97.588,265.50810000000007,360.13399999999996
43185,6914097.887073957,0,97.5956,266.1467,360.12850000000003
43882,6905963.38892618,0,97.6431,273.7129,360.1394
43883,6899107.179570226,0,97.6234,273.2226,360.1435
43884,6905393.042667311,0,97.63740000000001,273.9997,360.1457
43885,6907264.005438656,0,97.6363,273.2651,360.1292
43886,6907559.84263203,0,97.6259,273.00390000000004,360.0865
43887,6906344.234477235,0,97.6388,274.1352,360.2001
43888,6904560.520734997,0,97.6727,276.4546,360.0392
43889,6900651.629444606,0,97.6609,276.1828,360.06080000000003
46501,6861940.247982571,0,97.7798,322.0236,360.1768
46503,6867094.772436127,0,97.7803,321.0773,360.1642
48269,6956699.315653951,0,97.6847,69.7013,360.1418
48273,6955826.565979002,0,97.6843,69.8179,360.146
56970,6892056.541989662,0,97.5341,120.84429999999999,359.9945
56974,6877198.039123326,0,97.5215,121.20129999999999,360.0208
56977,6877208.850173906,0,97.524,121.1926,360.0141
57390,6937923.455219394,0,99.4899,167.8274,360.2887
57391,6937198.778993553,0,99.46810000000002,167.721,360.26120000000003
58259,6898711.536977742,0,97.4732,78.2017,360.27500000000003
58260,6896862.164572528,0,97.4795,78.5162,360.2667
58263,6897223.947409095,0,97.474,78.5437,360.25859999999994
58267,6896331.107167533,0,97.4722,78.2136,360.25359999999995
58332,6889927.220367621,0,97.4715,78.6126,360.2475
58333,6891206.477004292,0,97.4724,78.3506,360.24770000000007
58336,6893054.42060987,0,97.4724,78.3412,360.2477
58340,6892620.803233702,0,97.4785,78.32130000000001,360.26
