dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,12.22,10000,9.42,11.66,10.9,14.02,996,,,83,2.57,130,,,,,,40,802,Clouds,scattered clouds,03d
1640998800,2022-01-01 01:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,10.64,10000,8.4,10.01,9.23,13.29,996,,,86,0,0,,,,,,20,801,Clouds,few clouds,02n
1641002400,2022-01-01 02:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,10.38,10000,5.76,9.38,9.19,12.29,993,,,73,1.79,34,5.81,,,,,40,802,Clouds,scattered clouds,03n
1641006000,2022-01-01 03:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,9.47,10000,4.68,7.34,8.63,11.74,997,,,72,4.02,4,7.6,,,,,40,802,Clouds,scattered clouds,03n
1641009600,2022-01-01 04:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,8.66,10000,3.9,5.16,7.57,11.29,998,,,72,7.2,330,,,,,,40,802,Clouds,scattered clouds,03n
1641013200,2022-01-01 05:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,8.82,10000,3.66,7.02,8.12,10.63,999,,,70,3.13,6,8.94,,,,,20,801,Clouds,few clouds,02n
1641016800,2022-01-01 06:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,8.22,10000,2.88,5.59,7.46,10.29,1000,,,69,4.47,38,10.28,,,,,0,800,Clear,sky is clear,01n
1641020400,2022-01-01 07:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,8.41,10000,2.22,7.14,7.52,10.29,1001,,,65,2.24,356,8.94,,,,,0,800,Clear,sky is clear,01n
1641024000,2022-01-01 08:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,8.08,10000,2.33,5.42,6.41,9.57,1002,,,67,4.47,34,7.6,,,,,0,800,Clear,sky is clear,01n
1641027600,2022-01-01 09:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,6.78,10000,2.29,6.78,5.35,8.96,1002,,,73,0.89,15,5.81,,,,,0,800,Clear,sky is clear,01n
1641031200,2022-01-01 10:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,7.26,10000,2.16,5.52,5.3,8.96,1000,,,70,2.57,340,,,,,,20,801,Clouds,few clouds,02n
1641034800,2022-01-01 11:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,6.63,10000,2.14,4.1,4.2,8.46,1004,,,73,3.58,45,5.81,,,,,0,800,Clear,sky is clear,01n
1641038400,2022-01-01 12:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,6.94,10000,1.45,4.75,5.13,8.46,1004,,,68,3.13,300,8.94,,,,,0,800,Clear,sky is clear,01n
1641042000,2022-01-01 13:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,7.09,10000,0.75,4.42,5.85,7.9,1004,,,64,4.02,323,5.81,,,,,0,800,Clear,sky is clear,01n
1641045600,2022-01-01 14:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,6.97,10000,0.64,4.79,5.29,7.9,1006,,,64,3.13,344,8.94,,,,,0,800,Clear,sky is clear,01n
1641049200,2022-01-01 15:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,6.61,10000,0.72,3.39,4.02,7.9,1008,,,66,4.92,28,10.28,,,,,0,800,Clear,sky is clear,01d
1641052800,2022-01-01 16:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,7.29,10000,0.94,6.24,5.13,8.46,1009,,,64,1.79,358,5.81,,,,,0,800,Clear,sky is clear,01d
1641056400,2022-01-01 17:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,7.95,10000,1.78,7.95,7.57,10.13,1008,,,65,0.89,337,3.58,,,,,0,800,Clear,sky is clear,01d
1641060000,2022-01-01 18:00:00 +0000 UTC,-28800,Los Angeles,34.11621,-118.406868,10.01,10000,1.14,8.48,9.23,12.53,1009,,,54,1.54,90,,,,,,0,800,Clear,sky is clear,01d
