dt,dt_iso,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,New York,40.694305,-73.939876,9.95,10000,8.06,7.67,8.76,11.09,1014,,,88,4.63,160,,,,,,100,701,Mist,mist,50n
1640998800,2022-01-01 01:00:00 +0000 UTC,New York,40.694305,-73.939876,9.95,10000,8.06,8.4,8.76,11.09,1014,,,88,3.09,180,,,,,,100,701,Mist,mist,50n
1641002400,2022-01-01 02:00:00 +0000 UTC,New York,40.694305,-73.939876,10.05,9656,8.16,9.41,8.76,11.09,1013,,,88,3.09,200,,,,,,100,721,Haze,haze,50n
1641006000,2022-01-01 03:00:00 +0000 UTC,New York,40.694305,-73.939876,9.93,10000,8.2,8.69,8.76,11.09,1013,,,89,2.57,140,,,,,,100,701,Mist,mist,50n
1641009600,2022-01-01 04:00:00 +0000 UTC,New York,40.694305,-73.939876,9.9,10000,8.17,8.34,8.76,11.09,1013,,,89,3.09,170,,,,,,100,701,Mist,mist,50n
1641013200,2022-01-01 05:00:00 +0000 UTC,New York,40.694305,-73.939876,9.92,10000,8.19,8.09,8.77,11.09,1012,,,89,3.6,160,,,,,,100,701,Mist,mist,50n
1641016800,2022-01-01 06:00:00 +0000 UTC,New York,40.694305,-73.939876,9.84,10000,8.28,8,8.76,11.09,1012,,,90,3.6,180,,,,,,100,701,Mist,mist,50n
1641020400,2022-01-01 07:00:00 +0000 UTC,New York,40.694305,-73.939876,10.04,10000,8.48,9.45,8.77,11.09,1012,,,90,2.06,160,,,,,,100,701,Mist,mist,50n
1641024000,2022-01-01 08:00:00 +0000 UTC,New York,40.694305,-73.939876,10.04,10000,8.31,9.42,8.76,11.09,1012,,,89,2.57,130,,0.45,,,,100,500,Rain,light rain,10n
1641027600,2022-01-01 09:00:00 +0000 UTC,New York,40.694305,-73.939876,9.83,10000,8.43,7.59,8.77,10.98,1011,,,91,4.47,119,5.36,0.66,,,,100,500,Rain,light rain,10n
1641031200,2022-01-01 10:00:00 +0000 UTC,New York,40.694305,-73.939876,9.87,9656,9.11,8.3,9.31,10.44,1010,,,95,3.09,150,,,,,,100,701,Mist,mist,50n
1641034800,2022-01-01 11:00:00 +0000 UTC,New York,40.694305,-73.939876,10.01,1207,8.77,9.47,9.31,10.98,1009,,,92,4.47,159,5.81,0.25,,,,100,701,Mist,mist,50n
1641034800,2022-01-01 11:00:00 +0000 UTC,New York,40.694305,-73.939876,10.01,1207,8.77,9.47,9.31,10.98,1009,,,92,4.47,159,5.81,0.25,,,,100,500,Rain,light rain,10n
1641038400,2022-01-01 12:00:00 +0000 UTC,New York,40.694305,-73.939876,10.33,8047,9.09,9.82,9.32,11.09,1010,,,92,3.6,170,,0.25,,,,100,701,Mist,mist,50n
1641038400,2022-01-01 12:00:00 +0000 UTC,New York,40.694305,-73.939876,10.33,8047,9.09,9.82,9.32,11.09,1010,,,92,3.6,170,,0.25,,,,100,500,Rain,light rain,10n
1641042000,2022-01-01 13:00:00 +0000 UTC,New York,40.694305,-73.939876,10.38,4828,9.14,9.88,9.87,11.09,1010,,,92,5.36,128,6.71,0.86,,,,100,501,Rain,moderate rain,10d
1641042000,2022-01-01 13:00:00 +0000 UTC,New York,40.694305,-73.939876,10.38,4828,9.14,9.88,9.87,11.09,1010,,,92,5.36,128,6.71,0.86,,,,100,701,Mist,mist,50d
1641045600,2022-01-01 14:00:00 +0000 UTC,New York,40.694305,-73.939876,10.34,10000,9.1,9.83,9.87,11.09,1010,,,92,4.63,190,,0.71,,,,100,500,Rain,light rain,10d
1641049200,2022-01-01 15:00:00 +0000 UTC,New York,40.694305,-73.939876,10.88,9656,9.79,10.45,9.31,12.09,1011,,,93,5.66,200,,0.44,,,,100,500,Rain,light rain,10d
1641049200,2022-01-01 15:00:00 +0000 UTC,New York,40.694305,-73.939876,10.88,9656,9.79,10.45,9.31,12.09,1011,,,93,5.66,200,,0.44,,,,100,701,Mist,mist,50d
1641052800,2022-01-01 16:00:00 +0000 UTC,New York,40.694305,-73.939876,11.3,10000,10.21,10.91,9.87,12.09,1009,,,93,5.36,136,8.94,0.44,,,,100,500,Rain,light rain,10d
1641056400,2022-01-01 17:00:00 +0000 UTC,New York,40.694305,-73.939876,11.64,10000,10.55,11.29,9.87,12.87,1008,,,93,4.12,180,,0.35,,,,100,500,Rain,light rain,10d
1641060000,2022-01-01 18:00:00 +0000 UTC,New York,40.694305,-73.939876,12.26,10000,11.16,11.97,10.44,12.87,1007,,,93,4.02,200,7.15,0.29,,,,100,500,Rain,light rain,10d
1641063600,2022-01-01 19:00:00 +0000 UTC,New York,40.694305,-73.939876,12.46,8047,11.52,12.22,10.88,13.36,1007,,,94,2.24,186,3.58,0.25,,,,100,500,Rain,light rain,10d
1641063600,2022-01-01 19:00:00 +0000 UTC,New York,40.694305,-73.939876,12.46,8047,11.52,12.22,10.88,13.36,1007,,,94,2.24,186,3.58,0.25,,,,100,701,Mist,mist,50d
1641067200,2022-01-01 20:00:00 +0000 UTC,New York,40.694305,-73.939876,12.79,10000,11.52,12.53,11.54,13.87,1006,,,92,2.06,180,,0.72,,,,100,500,Rain,light rain,10d
1641067200,2022-01-01 20:00:00 +0000 UTC,New York,40.694305,-73.939876,12.79,10000,11.52,12.53,11.54,13.87,1006,,,92,2.06,180,,0.72,,,,100,701,Mist,mist,50d
1641070800,2022-01-01 21:00:00 +0000 UTC,New York,40.694305,-73.939876,12.63,10000,11.37,12.35,10.44,13.87,1006,,,92,3.09,200,,0.59,,,,100,300,Drizzle,light intensity drizzle,09d
1641070800,2022-01-01 21:00:00 +0000 UTC,New York,40.694305,-73.939876,12.63,10000,11.37,12.35,10.44,13.87,1006,,,92,3.09,200,,0.59,,,,100,701,Mist,mist,50d
1641070800,2022-01-01 21:00:00 +0000 UTC,New York,40.694305,-73.939876,12.63,10000,11.37,12.35,10.44,13.87,1006,,,92,3.09,200,,0.59,,,,100,500,Rain,light rain,10d
1641074400,2022-01-01 22:00:00 +0000 UTC,New York,40.694305,-73.939876,12.56,10000,11.3,12.27,10.44,13.32,1006,,,92,2.06,150,,0.25,,,,100,500,Rain,light rain,10n
1641078000,2022-01-01 23:00:00 +0000 UTC,New York,40.694305,-73.939876,12.4,8047,11.14,12.1,10.43,13.32,1006,,,92,2.06,90,,0.4,,,,100,500,Rain,light rain,10n
1641078000,2022-01-01 23:00:00 +0000 UTC,New York,40.694305,-73.939876,12.4,8047,11.14,12.1,10.43,13.32,1006,,,92,2.06,90,,0.4,,,,100,701,Mist,mist,50n
1641081600,2022-01-02 00:00:00 +0000 UTC,New York,40.694305,-73.939876,11.81,3219,10.72,11.47,9.87,12.81,1006,,,93,3.6,70,,0.85,,,,100,500,Rain,light rain,10n
1641081600,2022-01-02 00:00:00 +0000 UTC,New York,40.694305,-73.939876,11.81,3219,10.72,11.47,9.87,12.81,1006,,,93,3.6,70,,0.85,,,,100,701,Mist,mist,50n
1641085200,2022-01-02 01:00:00 +0000 UTC,New York,40.694305,-73.939876,11.41,4023,10.16,11.01,10.43,12.25,1005,,,92,2.57,60,,1.74,,,,100,701,Mist,mist,50n
1641085200,2022-01-02 01:00:00 +0000 UTC,New York,40.694305,-73.939876,11.41,4023,10.16,11.01,10.43,12.25,1005,,,92,2.57,60,,1.74,,,,100,501,Rain,moderate rain,10n
1641088800,2022-01-02 02:00:00 +0000 UTC,New York,40.694305,-73.939876,11.7,4023,10.61,11.35,9.87,12.65,1003,,,93,3.6,60,,1.1,,,,100,701,Mist,mist,50n
1641088800,2022-01-02 02:00:00 +0000 UTC,New York,40.694305,-73.939876,11.7,4023,10.61,11.35,9.87,12.65,1003,,,93,3.6,60,,1.1,,,,100,501,Rain,moderate rain,10n
1641092400,2022-01-02 03:00:00 +0000 UTC,New York,40.694305,-73.939876,11.7,4023,10.77,11.38,10.43,12.25,1002,,,94,5.14,40,,3.89,,,,100,502,Rain,heavy intensity rain,10n
1641092400,2022-01-02 03:00:00 +0000 UTC,New York,40.694305,-73.939876,11.7,4023,10.77,11.38,10.43,12.25,1002,,,94,5.14,40,,3.89,,,,100,701,Mist,mist,50n
1641096000,2022-01-02 04:00:00 +0000 UTC,New York,40.694305,-73.939876,11.5,4828,10.41,11.13,10.43,12.25,1002,,,93,4.63,70,,9.36,,,,100,502,Rain,heavy intensity rain,10n
1641096000,2022-01-02 04:00:00 +0000 UTC,New York,40.694305,-73.939876,11.5,4828,10.41,11.13,10.43,12.25,1002,,,93,4.63,70,,9.36,,,,100,701,Mist,mist,50n
1641099600,2022-01-02 05:00:00 +0000 UTC,New York,40.694305,-73.939876,11.29,10000,10.36,10.93,9.87,12.25,1000,,,94,6.26,44,8.05,0.98,,,,100,500,Rain,light rain,10n
1641103200,2022-01-02 06:00:00 +0000 UTC,New York,40.694305,-73.939876,11.19,9656,10.26,10.82,9.87,12.25,1000,,,94,3.6,90,,0.38,,,,100,500,Rain,light rain,10n
1641103200,2022-01-02 06:00:00 +0000 UTC,New York,40.694305,-73.939876,11.19,9656,10.26,10.82,9.87,12.25,1000,,,94,3.6,90,,0.38,,,,100,701,Mist,mist,50n
1641106800,2022-01-02 07:00:00 +0000 UTC,New York,40.694305,-73.939876,11.04,2816,9.95,10.63,8.76,12.25,1000,,,93,1.54,0,,0.25,,,,100,701,Mist,mist,50n
1641106800,2022-01-02 07:00:00 +0000 UTC,New York,40.694305,-73.939876,11.04,2816,9.95,10.63,8.76,12.25,1000,,,93,1.54,0,,0.25,,,,100,500,Rain,light rain,10n
1641110400,2022-01-02 08:00:00 +0000 UTC,New York,40.694305,-73.939876,11.13,10000,10.04,10.73,9.87,12.1,1000,,,93,4.63,340,,,,,,100,701,Mist,mist,50n
1641114000,2022-01-02 09:00:00 +0000 UTC,New York,40.694305,-73.939876,11.51,9656,10.58,11.17,10.43,12.25,1001,,,94,4.47,316,5.36,,,,,100,701,Mist,mist,50n
