dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-2.67,,-4.45,-6.38,-3.17,-2.34,1000,,,86,2.68,33,5.36,,,0.41,,98,600,Snow,light snow,13n
1640998800,2022-01-01 01:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-4.76,,-6.52,-10.15,-5.55,-3.45,1002,,,86,4.02,41,7.6,,,0.64,,100,601,Snow,snow,13n
1641002400,2022-01-01 02:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-5.93,,-6.9,-9.03,-6.66,-4.84,1005,,,92,1.79,35,,,,0.69,,100,601,Snow,snow,13n
1641006000,2022-01-01 03:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-7.53,,-9.12,-10.01,-8.17,-5.67,1005,,,87,1.34,38,2.68,,,0.61,,100,601,Snow,snow,13n
1641009600,2022-01-01 04:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-8.02,,-9.73,-8.02,-8.73,-6.5,1006,,,86,0.45,348,1.34,,,0.79,,100,601,Snow,snow,13n
1641013200,2022-01-01 05:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-8.23,,-9.94,-8.23,-9.28,-7.34,1006,,,86,0.89,21,,,,0.69,,100,601,Snow,snow,13n
1641016800,2022-01-01 06:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-8.72,,-10.42,-8.72,-9.28,-7.89,1006,,,86,0.89,14,2.24,,,0.37,,100,600,Snow,light snow,13n
1641020400,2022-01-01 07:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-9.51,,-11.33,-12.25,-10.4,-7.61,1006,,,85,1.34,44,3.13,,,0.3,,100,600,Snow,light snow,13n
1641024000,2022-01-01 08:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-10.84,,-12.91,-14.7,-11.66,-9.77,1006,,,83,1.79,38,,,,0.27,,100,600,Snow,light snow,13n
1641027600,2022-01-01 09:00:00 +0000 UTC,-25200,Denver,39.739236,-104.990251,-11.84,,-13.76,-11.84,-12.03,-10.39,1006,,,84,0.89,34,,,,0.24,,100,600,Snow,light snow,13n
